EU num;Eurostag Name;nInputPins;Modelica model;param 1;param 2;param 3;param 4;param 5;param 6;offset;init_value;NOTES
1; SUMMER;5;PowerSystems.NonElectrical.Math.ImSum5;a1;a2;a3;a4;a5;;a0;nStartValue;
2;MULTIPLIER;5;PowerSystems.NonElectrical.Math.ImMult5;a1;a2;a3;a4;a5;;a0;;
3; INTEGRATOR;1;PowerSystems.NonElectrical.Continuous.ImIntegrator;K;;;;;;;nStartValue;
4; RELAY;3;PowerSystems.NonElectrical.Nonlinear.ImRelay;;;;;;;;;
5; SQUARE-ROOT;1;PowerSystems.NonElectrical.Math.ImSqrt;;;;;;;;;
6; SIMPLE-LAG;1;PowerSystems.NonElectrical.Continuous.ImSimpleLag;K;T;;;;;;nStartValue;
7; LIMITED-INTEGRATOR;1;PowerSystems.NonElectrical.Continuous.ImLimitedIntegrator;Ymax;K;Ymin;;;;;nStartValue;
8; LIMITED-SIMPLE-LAG;1;PowerSystems.NonElectrical.Continuous.ImLimitedSimpleLag;Ymax;K;T;Ymin;;;;nStartValue;
9; DERIVATIVE-LAG;1;PowerSystems.NonElectrical.Continuous.ImDerivativeLag;K;T;;;;;;pStartValue;
10; LEAD-LAG;1;PowerSystems.NonElectrical.Continuous.ImLeadLag;K;T1;T2;;;;;nStartValue;
11; CONSTANT;0;PowerSystems.NonElectrical.Math.ImConstant;K;;;;;;;;
12; EXPONENTIAL;1;PowerSystems.NonElectrical.Math.ImExponential;A;B;;;;;;;
13; AND;5;PowerSystems.NonElectrical.Logical.ImAnd;;;;;;;;;
14; OR;5;PowerSystems.NonElectrical.Logical.ImOr;;;;;;;;;
15; FUNCTION;1;PowerSystems.NonElectrical.ImFunction;v;;;;;;;;
16; GAIN;1;PowerSystems.NonElectrical.Math.ImGain;K;;;;;;;;
17; ABS;1;PowerSystems.NonElectrical.Math.ImAbs;;;;;;;;;
18; POWER;1;PowerSystems.NonElectrical.Math.ImRampUpToAPower;A;;;;;;;;
19; LIMITER;1;PowerSystems.NonElectrical.Nonlinear.ImLimiter;Ymax;Ymin;;;;;;;
20; DEAD BAND;1;PowerSystems.NonElectrical.Nonlinear.ImDeadBand;Xmax;Xmin;;;;;;;
21; HYSTERSIS;;;;;;;;;;;
22; MINIMUM_SELECTOR;5;PowerSystems.NonElectrical.Math.ImMin;;;;;;;;;
23; MAXIMUM_SELECTOR;5;PowerSystems.NonElectrical.Math.ImMax;;;;;;;;;
24; VARIABLE-LIMITER;3;PowerSystems.NonElectrical.Nonlinear.ImVariableLimiter;;;;;;;;;
25; SCHMIDT-TRIGGER;1;PowerSystems.NonElectrical.Nonlinear.ImSchmidtTrigger;XMAX;XMIN;initValue;;;;;;
26; SET POINT;0;PowerSystems.NonElectrical.Math.ImSetPoint;;;;;;;;V;
27; TERMINAL-VOLTAGE;0; PowerSystems.TERMINAL-VOLTAGE;;;;;;;;; We eliminate this block in Modelica
28; ACTIVE-POWER;1;PowerSystems.Electrical.Sensors.Eurostag.PwActivePower;UNIT;SNREF;SN;PN;PNALT;QNALT;;;
29; OUMAINT;3;PowerSystems.NonElectrical.Logical.ImOumaint;;;;;;;;nStartValue;
30; DELAY_2;1;PowerSystems.NonElectrical.Nonlinear.ImDelay_2;T;SimpleLagStartValue;;;;;;;
31; REACTIVE-POWER;1;PowerSystems.Electrical.Sensors.Eurostag.PwReactivePower;UNIT;SNREF;SN;PN;PNALT;QNALT;;;This blocks is a power block and it equation varies if the machine has internal trafo or not!!
32; MONOSTABLE;1;PowerSystems.NonElectrical.Nonlinear.ImMonostable;S;T;;;;;;;
